NO,BLOCK NO.,COLOR NAME,L,H,W,CBM,CUTTING QTY,DISPATCHED SLABS,DISPATCHED QTY,BALANCE SLABS,SFT FOR BAL SLABS,TOTAL SFT FOR BLOCK,Recovery
398,1120 A,IMPERIAL GOLD,350,150,140,7.35,1259.41873,49,1084.85,0,0,2273.85,147.5986395
399,1120 B,IMPERIAL GOLD,350,150,140,7.35,1419.364909,49,1189,0,0,,161.7687075
400,1121,IMPERIAL GOLD,350,130,170,7.735,2058.858988,59,1726.04,0,0,1726.04,223.1467356
401,1122 A,IMPERIAL GOLD,350,150,120,6.3,1185.791173,45,901.62,0,0,1613.22,143.1142857
402,1122 B,IMPERIAL GOLD,350,150,120,6.3,384.2841765,14,284.64,21,426.96,,112.952381
403,1123 A,IMPERIAL GOLD,300,180,130,7.02,,,,0,,879.0464,0
404,1123 B,IMPERIAL GOLD,300,180,130,7.02,1079.870829,25,578.32,13,300.7264,,125.2202849
405,1124,IMPERIAL GOLD,330,130,90,3.861,1475.651238,17,372,25,547.0588235,919.0588235,238.0364733
406,1125 A,IMPERIAL GOLD,340,190,125,8.075,2798.708288,40,2451.43,0,0,2451.43,303.5826625
407,1125 B,IMPERIAL GOLD,350,190,120,7.98,2927.87944,40,2233.97,0,0,2617.36,279.9461153
408,1125 C,IMPERIAL GOLD,350,190,120,7.98,462.949408,13,383.39,0,0,,48.04385965
409,1126 A,IMPERIAL GOLD,355,205,200,14.555,2337.351991,70,1985.52,0,0,3788.6,136.4149777
410,1126 B,IMPERIAL GOLD,355,205,200,14.555,2468.568353,71,1803.08,0,0,,123.8804535
411,1127 A[A1],IMPERIAL GOLD,340,190,115,7.429,2173.950484,68,1926.88,0,0,1926.88,259.3727285
412,1127 B[A2],IMPERIAL GOLD,345,200,120,8.28,23598.70829,65,1716.8,0,0,2581.45,207.3429952
413,1127 B1,IMPERIAL GOLD,345,200,120,8.28,514.262648,7,434.74,0,0,,52.50483092
414,1127 B2 ,IMPERIAL GOLD,345,200,120,8.28,477.416577,7,429.91,0,0,,51.92149758
415,1128 A,IMPERIAL GOLD,345,205,155,10.962375,1692.314316,68,1271.56,0,0,2802.78,115.9931128
416,1128  B,IMPERIAL GOLD,345,205,155,10.962375,1692.314316,68,1531.22,0,0,,139.6795859
417,1129 A,IMPERIAL GOLD,340,200,85,5.78,782,15,404.82,8,215.904,1880.404,107.3916955
418,1129 B,IMPERIAL GOLD,340,200,85,5.78,1432.831001,45,1259.68,0,0,,217.9377163
420,1134 A,IMPERIAL GOLD,355,155,205,11.280125,1845.694295,71,1408.71,0,0,2888.393448,124.8842544
421,1134 B,IMPERIAL GOLD,355,155,205,11.280125,1765.511302,58,1280.92,9,198.7634483,,131.176157
422,1135 A,IMPERIAL GOLD,345,160,200,11.04,1661.657696,48,1292.91,0,0,2803.57,117.111413
423,1135 B,IMPERIAL GOLD,345,160,200,11.04,1714.208827,50,1510.66,0,0,,136.8351449
424,1136,IMPERIAL GOLD,340,100,200,6.8,1730,62,1892.92,0,0,1892.92,278.3705882
425,1137 B,IMPERIAL GOLD,355,170,180,10.863,1805.941873,52,1104.92,10,212.4846154,3210.343544,121.2744744
426,1137 A,IMPERIAL GOLD,355,170,180,10.863,1818.729817,56,1606.13,10,286.8089286,,174.2556318
427,1138 A,IMPERIAL GOLD,340,180,160,9.792,1333.735199,44,1149.85,0,0,2774.63,117.4274918
428,1138 B,IMPERIAL GOLD,340,180,160,9.792,1835.780409,65,1624.78,0,0,,165.9293301
429,1139,IMPERIAL GOLD,350,140,230,11.27,2317.976319,75,1247.52,0,0,1247.52,110.6938776
430,1140 A,IMPERIAL GOLD,340,170,190,10.982,720.3875135,61,1201.91,4,78.81377049,2415.00857,116.6202668
431,1140 B,IMPERIAL GOLD,340,170,190,10.982,1571.173305,50,1070.08,3,64.2048,,103.2858131
432,1141 A,IMPERIAL GOLD,350,140,190,9.31,922.3896663,38,981.07,3,77.45289474,1957.672895,113.6974108
433,1141 B,IMPERIAL GOLD,350,140,190,9.31,984.67169,33,899.15,0,0,,96.57894737
434,1141 C,IMPERIAL GOLD,350,140,190,9.31,326.803014,,,10,,,0
435,1154 A,IMPERIAL GOLD,350,200,130,9.1,1750.527449,56,1594.52,0,0,3062.388302,175.221978
436,1154 B,IMPERIAL GOLD,350,200,130,9.1,1546.178687,53,1364.86,4,103.0083019,,161.304209
437,1155 A,IMPERIAL GOLD,240,205,155,7.626,1334.44564,70,1173.3,0,0,2384.72,153.8552321
438,1155 B,IMPERIAL GOLD,240,205,155,7.626,1265.123789,70,1211.42,0,0,,158.8539208
439,1156 A,IMPERIAL GOLD,340,105,210,7.497,1491.926803,,,70,,951.5612903,0
440,1156 B,IMPERIAL GOLD,340,105,210,7.497,1383.423036,31,491.64,29,459.9212903,,126.925609
441,1157 A,IMPERIAL GOLD,350,100,100,3.5,1357.653391,39,577.98,0,0,1622.18,165.1371429
442,1157 B,IMPERIAL GOLD,350,100,100,3.5,452.5511302,13,380.13,0,0,,108.6085714
443,1157 C,IMPERIAL GOLD,350,100,100,3.5,712.48,22,664.07,0,0,,189.7342857
445,1204 A,IMPERIAL GOLD,350,205,80,5.74,1335.629709,34,823.84,6,,1728.94,143.5261324
446,1204 B,IMPERIAL GOLD,350,205,80,5.74,1000.710441,43,905.1,0,0,,157.6829268
447,1205-A,IMPERIAL GOLD,340,200,190,12.92,1288.61,28,496.52,15,,496.52,38.43034056
448,1205-B,IMPERIAL GOLD,340,200,190,12.92,1085.04,,,35,,,0
449,1205-C,IMPERIAL GOLD,340,200,190,12.92,920.99,26,684.79,5,,,53.00232198
450,1206,IMPERIAL GOLD,345,170,210,12.3165,4015.672766,,,58,,0,0
451,1207,IMPERIAL GOLD,350,205,190,13.6325,,,,0,,0,0
452,1208,IMPERIAL GOLD,340,210,170,12.138,4377.029064,60,3576.5,1,,3576.5,294.6531554
453,1209,IMPERIAL GOLD,340,150,200,10.2,,,,0,,0,0
454,1210 A,IMPERIAL GOLD,350,135,160,7.56,1057.911733,34,700.53,8,164.8305882,1446.230588,114.4656863
455,1210 B,IMPERIAL GOLD,350,135,160,7.56,,22,580.87,-22,,,76.83465608
456,1211,IMPERIAL GOLD,340,75,100,2.55,1126.480086,46,982.35,0,,982.35,385.2352941
457,1212 A,IMPERIAL GOLD,290,190,160,8.816,1637.201292,55,1432.15,0,0,2849.72,162.4489564
458,1212 B,IMPERIAL GOLD,290,190,160,8.816,1765.597417,60,1417.57,0,0,,160.7951452
459,1213 A,IMPERIAL GOLD,330,200,110,7.26,937.007535,32,797.33,4,99.66625,1729.485038,123.5532025
460,1213 B,IMPERIAL GOLD,330,200,110,7.26,1200.80732,33,742.49,4,89.99878788,,114.6678771
461,1214 A,IMPERIAL GOLD,345,205,200,14.145,2645.683531,,,38,,1414.83,0
462,1214 B,IMPERIAL GOLD,345,205,200,14.145,874.2303552,27,689.16,0,0,,48.72110286
463,1214 C,IMPERIAL GOLD,345,205,200,14.145,626.9106566,29,725.67,0,0,,51.30222694
464,1215 A,IMPERIAL GOLD,350,140,200,9.8,1921.420883,77,1579.52,0,0,1579.52,161.1755102
465,1215 B,IMPERIAL GOLD,350,140,200,9.8,,,,0,,,0
466,1216 A,IMPERIAL GOLD,340,190,200,12.92,2320.301399,71,2004.55,0,0,3996.432097,155.1509288
467,1216 B,IMPERIAL GOLD,340,190,200,12.92,2373.035522,62,1739.39,9,252.4920968,,154.1704409
468,1217 A,IMPERIAL GOLD,350,205,100,7.175,1137.061356,36,1029.33,0,0,2045.39,143.4606272
469,1217 B,IMPERIAL GOLD,350,205,100,7.175,1183.595264,36,1016.06,0,0,,141.6111498
470,1218 A,IMPERIAL GOLD,220,160,105,3.696,522.1743811,32,483.86,0,0,1058.17,130.9145022
471,1218 B,IMPERIAL GOLD,220,160,105,3.696,585.4682454,37,574.31,0,0,,155.3869048
472,1219 A,IMPERIAL GOLD,215,205,170,7.49275,790.5274489,46,702.21,5,76.32717391,1780.619107,103.9053984
473,1219 B,IMPERIAL GOLD,215,205,170,7.49275,616.6630786,17,289.75,14,238.6176471,,70.51718622
474,1219 C,IMPERIAL GOLD,215,205,170,7.49275,607.621098,28,414.5,4,59.21428571,,63.22302035
475,1220 A,IMPERIAL GOLD,345,165,95,5.407875,974.8385361,35,806.29,0,0,1661.28,149.095532
476,1220  B,IMPERIAL GOLD,345,165,95,5.407875,974.8385361,37,854.99,0,0,,158.1009176
477,1221 A,IMPERIAL GOLD,330,200,215,14.19,,,,0,,1719.686296,0
478,1221 B,IMPERIAL GOLD,330,200,215,14.19,902.9332616,30,843.94,0,0,,59.47427766
479,1221 C,IMPERIAL GOLD,330,200,215,14.19,1009.537137,27,815.35,2,60.3962963,,61.71573617
480,1222 A,IMPERIAL GOLD,330,195,205,13.19175,2164.327234,69,1784.13,0,0,3687.34,135.2458923
481,1222 B,IMPERIAL GOLD,330,195,205,13.19175,2239.666308,66,1903.21,0,0,,144.2727462
482,1296-A,IMPERIAL GOLD,300,150,145,6.525,1136.383208,51,1049.29,0,0,2143.58,160.810728
483,1296-B,IMPERIAL GOLD,300,150,145,6.525,1180.947255,53,1094.29,0,0,,167.7072797
484,1297-A,IMPERIAL GOLD,300,195,175,10.2375,1571.851453,,,55,,0,0
485,1297-B,IMPERIAL GOLD,300,195,175,10.2375,,,,,,,0
486,1298-A,IMPERIAL GOLD,295,200,135,7.965,1531.646932,51,1308.82,0,0,1308.82,164.3214062
487,1298-B,IMPERIAL GOLD,295,200,135,7.965,1349.795479,,,,,,0
488,1299,IMPERIAL GOLD,200,105,75,1.575,559.7416577,28,545.31,0,0,545.31,346.2285714
489,1300,IMPERIAL GOLD,260,90,95,2.223,926.803014,28,700.25,13,325.1160714,1025.366071,461.2532935
490,1301,IMPERIAL GOLD,275,105,65,1.876875,733.5844995,20,628.96,9,283.032,911.992,485.9098235
491,1302-A,IMPERIAL GOLD,340,170,135,7.803,1468.245425,55,1440.85,0,0,2681.588636,184.6533385
492,1302-B,IMPERIAL GOLD,340,170,135,7.803,1356.297094,44,1091.85,6,148.8886364,,159.0078991
493,1303-A,IMPERIAL GOLD,340,205,170,11.849,1914.800861,58,1675.95,0,0,3258.122222,141.4423158
494,1303-B,IMPERIAL GOLD,340,205,170,11.849,1580.538213,54,1498.9,3,83.27222222,,133.5279114
495,1304-A,IMPERIAL GOLD,325,210,160,10.92,1339.246502,46,1259.7,2,54.76956522,2330.349565,120.3726708
496,1304-B,IMPERIAL GOLD,325,210,160,10.92,878.5791173,57,1015.88,0,0,,93.02930403
497,1305,IMPERIAL GOLD,340,100,100,3.4,1327.018299,37,1268.25,3,102.8310811,1371.081081,403.2591415
498,1306-A,IMPERIAL GOLD,300,200,105,6.3,,,,,,844.25,0
499,1306-B,IMPERIAL GOLD,300,200,105,6.3,987.0613563,34,844.25,0,0,,134.0079365
500,1307-A,IMPERIAL GOLD,330,170,170,9.537,1930.678149,60,1739.06,0,0,1739.06,182.348747
501,1307-B,IMPERIAL GOLD,330,170,170,9.537,,,,,,,0
502,1308-A,IMPERIAL GOLD,250,95,100,2.375,720.3875135,30,553.31,3,55.331,1924.641,256.2698947
